标题,被引用文章标题
Effects of phosphorus grain boundary segregation and hardness on the ductile-to-brittle transition for a 2.25CrlMo steel,ADSORPTION-INDUCED INTERFACE DECOHESION
Effects of phosphorus grain boundary segregation and hardness on the ductile-to-brittle transition for a 2.25CrlMo steel,EQUILIBRIUM GRAIN-BOUNDARY SEGREGATION OF PHOSPHORUS IN 2.6CR-0.7MO-0.3V STEELS
Effects of phosphorus grain boundary segregation and hardness on the ductile-to-brittle transition for a 2.25CrlMo steel,ON KINETICS OF PHOSPHORUS SEGREGATION IN CR-MO-V LOW-ALLOY STEEL
Effects of phosphorus grain boundary segregation and hardness on the ductile-to-brittle transition for a 2.25CrlMo steel,THE CALCULATION OF TRANSITION-TEMPERATURE CHANGES IN STEELS DUE TO TEMPER EMBRITTLEMENT
Effects of phosphorus grain boundary segregation and hardness on the ductile-to-brittle transition for a 2.25CrlMo steel,"Grain boundary embrittlement in iron alloys, an AES and AP-FIM study"
Effects of phosphorus grain boundary segregation and hardness on the ductile-to-brittle transition for a 2.25CrlMo steel,GRAIN-BOUNDARY SEGREGATION OF SULFUR AND NITROGEN IN SINTERED MOLYBDENUM
Effects of phosphorus grain boundary segregation and hardness on the ductile-to-brittle transition for a 2.25CrlMo steel,INFLUENCE OF INTERCRITICAL HEAT-TREATMENT ON TEMPER EMBRITTLEMENT SUSCEPTIBILITY OF A P-DOPED NI-CR STEEL
Effects of phosphorus grain boundary segregation and hardness on the ductile-to-brittle transition for a 2.25CrlMo steel,EFFECTS OF COMPOSITION AND CARBIDE PRECIPITATION ON TEMPER EMBRITTLEMENT OF 2.25 CR-1 MO STEEL .1. EFFECTS OF P AND SN
Mullite castables bonded by calcium aluminate cement,Mullite-based refractories for molten-metal applications
Mullite castables bonded by calcium aluminate cement,null
Mullite castables bonded by calcium aluminate cement,Environmental effect of coal gangue stack area
Mullite castables bonded by calcium aluminate cement,Use of andalusite refractories in ferrous metallurgy
Mullite castables bonded by calcium aluminate cement,Preparation of beta-SiC/Al2O3 composite from kaolinite gangue by carbothermal reduction
Mullite castables bonded by calcium aluminate cement,Mullitization of andalusite in bricks and castables
Mullite castables bonded by calcium aluminate cement,Castable refractory concretes
Mullite castables bonded by calcium aluminate cement,HIGH-TEMPERATURE TRANSFORMATION OF ANDALUSITE (AL2SIO5) INTO 3/2-MULLITE (3AL2O32SIO2) AND VITREOUS SILICA (SIO2)
Mullite castables bonded by calcium aluminate cement,Andalusite-based high-alumina castables
Mullite castables bonded by calcium aluminate cement,SYNTHESES AND CHARACTERIZATION OF NANOMETER-SIZED SEMICONDUCTOR CLUSTERS
The effects of different types of investments on the alpha-case layer of titanium castings,Titanium applications in dentistry
The effects of different types of investments on the alpha-case layer of titanium castings,Modeling the surface contamination of dental titanium investment castings
The effects of different types of investments on the alpha-case layer of titanium castings,null
The effects of different types of investments on the alpha-case layer of titanium castings,Casted titanium for dental applications: an XPS and SEM study
The effects of different types of investments on the alpha-case layer of titanium castings,INTERACTIONS BETWEEN TI AND ALUMINA-BASED CERAMICS
The effects of different types of investments on the alpha-case layer of titanium castings,Corrosion behavior of cast titanium with reduced surface reaction layer made by a face-coating method
The effects of different types of investments on the alpha-case layer of titanium castings,Titanium casting into phosphate bonded investment with zirconite
The effects of different types of investments on the alpha-case layer of titanium castings,Titanium in dentistry: development and research in the U.S.A.
The effects of different types of investments on the alpha-case layer of titanium castings,Effect of surface reaction layer on grindability of cast titanium alloys
The effects of different types of investments on the alpha-case layer of titanium castings,Alpha-case formation mechanism on titanium investment castings
Parameter-dependent Lyapunov function approach to stability analysis and design for polytopic systems with input saturation,null
Parameter-dependent Lyapunov function approach to stability analysis and design for polytopic systems with input saturation,A new method for improvement of robustness bounds for linear state equations
Parameter-dependent Lyapunov function approach to stability analysis and design for polytopic systems with input saturation,A CHRONOLOGICAL BIBLIOGRAPHY ON SATURATING ACTUATORS
Parameter-dependent Lyapunov function approach to stability analysis and design for polytopic systems with input saturation,Set invariance analysis and gain-scheduling control for LPV systems subject to actuator saturation
Parameter-dependent Lyapunov function approach to stability analysis and design for polytopic systems with input saturation,LYAPUNOV FUNCTIONS FOR UNCERTAIN SYSTEMS WITH APPLICATIONS TO THE STABILITY OF TIME-VARYING SYSTEMS
Parameter-dependent Lyapunov function approach to stability analysis and design for polytopic systems with input saturation,A new discrete-time robust stability conditions
Parameter-dependent Lyapunov function approach to stability analysis and design for polytopic systems with input saturation,Analysis and synthesis of robust control systems via parameter-dependent Lyapunov functions
Parameter-dependent Lyapunov function approach to stability analysis and design for polytopic systems with input saturation,Affine parameter-dependent Lyapunov functions and real parametric uncertainty
Parameter-dependent Lyapunov function approach to stability analysis and design for polytopic systems with input saturation,GAIN SCHEDULING VIA LINEAR FRACTIONAL TRANSFORMATIONS
Parameter-dependent Lyapunov function approach to stability analysis and design for polytopic systems with input saturation,A new robust D-stability condition for real convex polytopic uncertainty
Parameter-dependent Lyapunov function approach to stability analysis and design for polytopic systems with input saturation,Analytical framework for gain scheduling
Parameter-dependent Lyapunov function approach to stability analysis and design for polytopic systems with input saturation,Gain scheduling: Possible hazards and potential remedies
Parameter-dependent Lyapunov function approach to stability analysis and design for polytopic systems with input saturation,ANALYSIS OF GAIN SCHEDULED CONTROL FOR NONLINEAR PLANTS
Parameter-dependent Lyapunov function approach to stability analysis and design for polytopic systems with input saturation,BENCHMARK PROBLEMS FOR ROBUST-CONTROL DESIGN
Parameter-dependent Lyapunov function approach to stability analysis and design for polytopic systems with input saturation,Induced L(2)-norm control for LPV systems with bounded parameter variation rates
Parameter-dependent Lyapunov function approach to stability analysis and design for polytopic systems with input saturation,LQG control design for LPV systems
Phonon transport and thermal conductivity in an acoustic filter,Heat transport in mesoscopic systems
Phonon transport and thermal conductivity in an acoustic filter,Quantum energy flow in mesoscopic dielectric structures
Phonon transport and thermal conductivity in an acoustic filter,Thermal properties of materials characterized by scanning electron-acoustic microscopy
Phonon transport and thermal conductivity in an acoustic filter,Thermal conductivity anomalies related to the double-bump of resistivity in Nd0.7Sr0.3Mn1-xCrxO3
Phonon transport and thermal conductivity in an acoustic filter,Vibrational energy transfer and heat conduction in a one-dimensional glass
Phonon transport and thermal conductivity in an acoustic filter,Phonon transport and thermal conductivity in dielectric quantum wire
Phonon transport and thermal conductivity in an acoustic filter,Polaronic tunnelling in organic triblock copolymers
Phonon transport and thermal conductivity in an acoustic filter,The effect of periodic magnetic-electric barriers on electron transport in a nanostructure
Phonon transport and thermal conductivity in an acoustic filter,null
Phonon transport and thermal conductivity in an acoustic filter,Phonon transport and thermal conductivity in a four-terminal structure
Phonon transport and thermal conductivity in an acoustic filter,Effect of an impurity in the wide-narrow-wide quantum waveguide structure
Phonon transport and thermal conductivity in an acoustic filter,Ballistic thermal conductance limited by phonon roughness scattering: A comparison of power-law and Gaussian roughness
Phonon transport and thermal conductivity in an acoustic filter,Quantized thermal conductance of dielectric quantum wires
Phonon transport and thermal conductivity in an acoustic filter,Effect of surface roughness on the universal thermal conductance
Phonon transport and thermal conductivity in an acoustic filter,Measurement of the quantum of thermal conductance
Phonon transport and thermal conductivity in an acoustic filter,Spontaneous spin-polarized current in a nonuniform Rashba interaction system
Phonon transport and thermal conductivity in an acoustic filter,Four-terminal thermal conductance of mesoscopic dielectric systems
Phonon transport and thermal conductivity in an acoustic filter,Lattice thermal conductance in nanowiresat low temperatures: Breakdown and recovery of quantization
Phonon transport and thermal conductivity in an acoustic filter,Lattice dynamics of potassium-doped single-walled carbon nanotubes
Eigenaction of metric operator on Gaussian weave state and spin-geometry,Loop quantum gravity on non-compact spaces
Eigenaction of metric operator on Gaussian weave state and spin-geometry,WEAVING A CLASSICAL METRIC WITH QUANTUM THREADS
Eigenaction of metric operator on Gaussian weave state and spin-geometry,A Gaussian weave for kinematical loop quantum gravity
Eigenaction of metric operator on Gaussian weave state and spin-geometry,Comparison of area spectra in loop quantum gravity
Eigenaction of metric operator on Gaussian weave state and spin-geometry,Weave states in loop quantum gravity
Eigenaction of metric operator on Gaussian weave state and spin-geometry,null
Eigenaction of metric operator on Gaussian weave state and spin-geometry,Eigenvalues of volume and area in the spin network representation
Effect of polymorphism of Al2O3 on sintering and grain growth of magnesia aluminate spinel,Production and characterization of in situ Al4C3 reinforced aluminum-based composite produced by mechanical alloying technique
Effect of polymorphism of Al2O3 on sintering and grain growth of magnesia aluminate spinel,null
Effect of polymorphism of Al2O3 on sintering and grain growth of magnesia aluminate spinel,HIGH-TEMPERATURE MECHANICAL-BEHAVIOR OF STOICHIOMETRIC MAGNESIUM SPINEL
Effect of polymorphism of Al2O3 on sintering and grain growth of magnesia aluminate spinel,MgAl2O4 spinel phase derived from oxide mixture activated by a high-energy ball milling process
Effect of polymorphism of Al2O3 on sintering and grain growth of magnesia aluminate spinel,INFLUENCE OF FLUORINE ION ON THE SPINEL SYNTHESIS
Effect of polymorphism of Al2O3 on sintering and grain growth of magnesia aluminate spinel,Kinetic study on the growth of titania nanocrystallites
Effect of polymorphism of Al2O3 on sintering and grain growth of magnesia aluminate spinel,Effect of additives on the densification of reaction sintered and presynthesised spinels
Effect of polymorphism of Al2O3 on sintering and grain growth of magnesia aluminate spinel,Effect of addition of TiO2 on reaction sintered MgO-Al2O3 spinels
Effect of polymorphism of Al2O3 on sintering and grain growth of magnesia aluminate spinel,Mechanical properties of MgAl<INF>2</INF>O<INF>4</INF>single crystal fibers
Effect of polymorphism of Al2O3 on sintering and grain growth of magnesia aluminate spinel,Synthesis and densification of magnesium aluminate spinel: effect of MgO reactivity
Effect of polymorphism of Al2O3 on sintering and grain growth of magnesia aluminate spinel,Oxides and hydroxides of aluminium
Effect of polymorphism of Al2O3 on sintering and grain growth of magnesia aluminate spinel,Effect of polymorphism of Al2O3 on the synthesis of magnesium aluminate spinel
Effect of polymorphism of Al2O3 on sintering and grain growth of magnesia aluminate spinel,Influence of mechanical activation of Al2O3 on synthesis of magnesium aluminate spinel
